COMMON_NAME,SCIENTIFIC_NAME,CATEGORY,order,family,scientific name,CLASSIFICATION
Laughing Gull,Leucophaeus atricilla,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Leucophaeus atricilla,N
Lawrence's Goldfinch,Spinus lawrencei,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Spinus lawrencei,N
Lazuli Bunting,Passerina amoena,species,Passeriformes,Cardinalidae (Cardinals and Allies),Passerina amoena,N
Least Bittern,Ixobrychus exilis,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Ixobrychus exilis,N
Least Flycatcher,Empidonax minimus,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax minimus,N
Least Grebe,Tachybaptus dominicus,species,Podicipediformes,Podicipedidae (Grebes),Tachybaptus dominicus,N
Least Sandpiper,Calidris minutilla,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris minutilla,N
Least Tern,Sternula antillarum,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sternula antillarum,N
LeConte's Sparrow,Ammodramus leconteii,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Ammodramus leconteii,N
LeConte's Thrasher,Toxostoma lecontei,species,Passeriformes,Mimidae (Mockingbirds and Thrashers),Toxostoma lecontei,N
Lesser Black-backed Gull,Larus fuscus,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus fuscus,N
Lesser Goldfinch,Spinus psaltria,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Spinus psaltria,N
Lesser Nighthawk,Chordeiles acutipennis,species,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Chordeiles acutipennis,N
Lesser Sand-Plover,Charadrius mongolus,species,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius mongolus,N
Lesser Scaup,Aythya affinis,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya affinis,N
Lesser Yellowlegs,Tringa flavipes,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa flavipes,N
Lewis's Woodpecker,Melanerpes lewis,species,Piciformes,Picidae (Woodpeckers),Melanerpes lewis,N
Lilac-crowned Parrot,Amazona finschi,species,Psittaciformes,Psittacidae (New World and African Parrots),Amazona finschi,E
Limpkin,Aramus guarauna,species,Gruiformes,Aramidae (Limpkin),Aramus guarauna,N
Lincoln's Sparrow,Melospiza lincolnii,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Melospiza lincolnii,N
Little Blue Heron,Egretta caerulea,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Egretta caerulea,N
Little Gull,Hydrocoloeus minutus,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Hydrocoloeus minutus,N
Loggerhead Shrike,Lanius ludovicianus,species,Passeriformes,Laniidae (Shrikes),Lanius ludovicianus,N
Long-billed Curlew,Numenius americanus,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Numenius americanus,N
Long-billed Dowitcher,Limnodromus scolopaceus,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Limnodromus scolopaceus,N
Long-billed Thrasher,Toxostoma longirostre,species,Passeriformes,Mimidae (Mockingbirds and Thrashers),Toxostoma longirostre,N
Long-eared Owl,Asio otus,species,Strigiformes,Strigidae (Owls),Asio otus,N
Long-tailed Duck,Clangula hyemalis,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Clangula hyemalis,N
Long-tailed Jaeger,Stercorarius longicaudus,species,Charadriiformes,Stercorariidae (Skuas and Jaegers),Stercorarius longicaudus,N
Louisiana Waterthrush,Parkesia motacilla,species,Passeriformes,Parulidae (New World Warblers),Parkesia motacilla,N
Lucifer Hummingbird,Calothorax lucifer,species,Caprimulgiformes,Trochilidae (Hummingbirds),Calothorax lucifer,N
Lucy's Warbler,Oreothlypis luciae,species,Passeriformes,Parulidae (New World Warblers),Oreothlypis luciae,N
MacGillivray's Warbler,Geothlypis tolmiei,species,Passeriformes,Parulidae (New World Warblers),Geothlypis tolmiei,N
Magnificent Frigatebird,Fregata magnificens,species,Suliformes,Fregatidae (Frigatebirds),Fregata magnificens,N
Magnolia Warbler,Setophaga magnolia,species,Passeriformes,Parulidae (New World Warblers),Setophaga magnolia,N
Mallard,Anas platyrhynchos,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas platyrhynchos,N
Mallard (Domestic type),Anas platyrhynchos (Domestic type),domestic,NA,NA,NA,E
Mandarin Duck,Aix galericulata,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aix galericulata,N
Mangrove Cuckoo,Coccyzus minor,species,Cuculiformes,Cuculidae (Cuckoos),Coccyzus minor,N
Marbled Godwit,Limosa fedoa,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Limosa fedoa,N
Marsh Wren,Cistothorus palustris,species,Passeriformes,Troglodytidae (Wrens),Cistothorus palustris,N
Masked Booby,Sula dactylatra,species,Suliformes,Sulidae (Boobies and Gannets),Sula dactylatra,N
Masked Duck,Nomonyx dominicus,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Nomonyx dominicus,N
McCown's Longspur,Rhynchophanes mccownii,species,Passeriformes,Calcariidae (Longspurs and Snow Buntings),Rhynchophanes mccownii,N
McKay's Bunting,Plectrophenax hyperboreus,species,Passeriformes,Calcariidae (Longspurs and Snow Buntings),Plectrophenax hyperboreus,N
Merlin,Falco columbarius,species,Falconiformes,Falconidae (Falcons and Caracaras),Falco columbarius,N
Mew Gull,Larus canus,issf,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus canus,N
Mexican Chickadee,Poecile sclateri,species,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Poecile sclateri,N
Mexican Jay,Aphelocoma wollweberi,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Aphelocoma wollweberi,N
Mexican Violetear,Colibri thalassinus,species,Caprimulgiformes,Trochilidae (Hummingbirds),Colibri thalassinus,N
Mexican Whip-poor-will,Antrostomus arizonae,species,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Antrostomus arizonae,N
Mississippi Kite,Ictinia mississippiensis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Ictinia mississippiensis,N
Mitred Parakeet,Psittacara mitratus,species,Psittaciformes,Psittacidae (New World and African Parrots),Psittacara mitratus,E
Monk Parakeet,Myiopsitta monachus,species,Psittaciformes,Psittacidae (New World and African Parrots),Myiopsitta monachus,E
Montezuma Quail,Cyrtonyx montezumae,species,Galliformes,Odontophoridae (New World Quail),Cyrtonyx montezumae,N
Mottled Duck,Anas fulvigula,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas fulvigula,N
Mountain Bluebird,Sialia currucoides,species,Passeriformes,Turdidae (Thrushes and Allies),Sialia currucoides,N
Mountain Chickadee,Poecile gambeli,species,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Poecile gambeli,N
Mountain Plover,Charadrius montanus,species,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius montanus,N
Mountain Quail,Oreortyx pictus,species,Galliformes,Odontophoridae (New World Quail),Oreortyx pictus,N
Mourning Dove,Zenaida macroura,species,Columbiformes,Columbidae (Pigeons and Doves),Zenaida macroura,N
Mourning Warbler,Geothlypis philadelphia,species,Passeriformes,Parulidae (New World Warblers),Geothlypis philadelphia,N
Muscovy Duck,Cairina moschata,domestic,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cairina moschata,E
Muscovy Duck (Domestic type),Cairina moschata (Domestic type),domestic,NA,NA,NA,E
Mute Swan,Cygnus olor,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus olor,E
Nanday Parakeet,Aratinga nenday,species,Psittaciformes,Psittacidae (New World and African Parrots),Aratinga nenday,E
Nashville Warbler,Oreothlypis ruficapilla,species,Passeriformes,Parulidae (New World Warblers),Oreothlypis ruficapilla,N
Nelson's Sparrow,Ammodramus nelsoni,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Ammodramus nelsoni,N
Neotropic Cormorant,Phalacrocorax brasilianus,species,Suliformes,Phalacrocoracidae (Cormorants and Shags),Phalacrocorax brasilianus,N
Northern Beardless-Tyrannulet,Camptostoma imberbe,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Camptostoma imberbe,N
Northern Bobwhite,Colinus virginianus,species,Galliformes,Odontophoridae (New World Quail),Colinus virginianus,N
Northern Cardinal,Cardinalis cardinalis,species,Passeriformes,Cardinalidae (Cardinals and Allies),Cardinalis cardinalis,N
Northern Flicker,Colaptes auratus,issf,Piciformes,Picidae (Woodpeckers),Colaptes auratus,N
Northern Gannet,Morus bassanus,species,Suliformes,Sulidae (Boobies and Gannets),Morus bassanus,N
Northern Goshawk,Accipiter gentilis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Accipiter gentilis,N
Northern Harrier,Circus hudsonius,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Circus hudsonius,N
Northern Jacana,Jacana spinosa,species,Charadriiformes,Jacanidae (Jacanas),Jacana spinosa,N
Northern Mockingbird,Mimus polyglottos,species,Passeriformes,Mimidae (Mockingbirds and Thrashers),Mimus polyglottos,N
Northern Parula,Setophaga americana,species,Passeriformes,Parulidae (New World Warblers),Setophaga americana,N
Northern Pintail,Anas acuta,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas acuta,N
Northern Pygmy-Owl,Glaucidium gnoma,species,Strigiformes,Strigidae (Owls),Glaucidium gnoma,N
Northern Red Bishop,Euplectes franciscanus,species,Passeriformes,Ploceidae (Weavers and Allies),Euplectes franciscanus,E
Northern Rough-winged Swallow,Stelgidopteryx serripennis,species,Passeriformes,Hirundinidae (Swallows),Stelgidopteryx serripennis,N
Northern Saw-whet Owl,Aegolius acadicus,species,Strigiformes,Strigidae (Owls),Aegolius acadicus,N
Northern Shoveler,Spatula clypeata,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Spatula clypeata,N
Northern Shrike,Lanius borealis,species,Passeriformes,Laniidae (Shrikes),Lanius borealis,N
Northern Waterthrush,Parkesia noveboracensis,species,Passeriformes,Parulidae (New World Warblers),Parkesia noveboracensis,N
Northern Wheatear,Oenanthe oenanthe,species,Passeriformes,Muscicapidae (Old World Flycatchers),Oenanthe oenanthe,N
Northwestern Crow,Corvus caurinus,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus caurinus,N
Nuttall's Woodpecker,Picoides nuttallii,species,Piciformes,Picidae (Woodpeckers),Picoides nuttallii,N
Oak Titmouse,Baeolophus inornatus,species,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Baeolophus inornatus,N
Olive Sparrow,Arremonops rufivirgatus,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Arremonops rufivirgatus,N
Olive Warbler,Peucedramus taeniatus,species,Passeriformes,Peucedramidae (Olive Warbler),Peucedramus taeniatus,N
Olive-backed Pipit,Anthus hodgsoni,species,Passeriformes,Motacillidae (Wagtails and Pipits),Anthus hodgsoni,N
Olive-sided Flycatcher,Contopus cooperi,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Contopus cooperi,N
Orange-cheeked Waxbill,Estrilda melpoda,species,Passeriformes,Estrildidae (Waxbills and Allies),Estrilda melpoda,E
Orange-crowned Warbler,Oreothlypis celata,species,Passeriformes,Parulidae (New World Warblers),Oreothlypis celata,N
Orchard Oriole,Icterus spurius,species,Passeriformes,Icteridae (Troupials and Allies),Icterus spurius,N
Osprey,Pandion haliaetus,species,Accipitriformes,Pandionidae (Osprey),Pandion haliaetus,N
Ovenbird,Seiurus aurocapilla,species,Passeriformes,Parulidae (New World Warblers),Seiurus aurocapilla,N
Pacific Golden-Plover,Pluvialis fulva,species,Charadriiformes,Charadriidae (Plovers and Lapwings),Pluvialis fulva,N
Pacific Loon,Gavia pacifica,species,Gaviiformes,Gaviidae (Loons),Gavia pacifica,N
Pacific Wren,Troglodytes pacificus,issf,Passeriformes,Troglodytidae (Wrens),Troglodytes pacificus,N
Pacific-slope Flycatcher,Empidonax difficilis,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax difficilis,N
Painted Bunting,Passerina ciris,species,Passeriformes,Cardinalidae (Cardinals and Allies),Passerina ciris,N
Painted Redstart,Myioborus pictus,species,Passeriformes,Parulidae (New World Warblers),Myioborus pictus,N
Palm Warbler,Setophaga palmarum,species,Passeriformes,Parulidae (New World Warblers),Setophaga palmarum,N
Parasitic Jaeger,Stercorarius parasiticus,species,Charadriiformes,Stercorariidae (Skuas and Jaegers),Stercorarius parasiticus,N
Pectoral Sandpiper,Calidris melanotos,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris melanotos,N
Pelagic Cormorant,Phalacrocorax pelagicus,species,Suliformes,Phalacrocoracidae (Cormorants and Shags),Phalacrocorax pelagicus,N
Peregrine Falcon,Falco peregrinus,species,Falconiformes,Falconidae (Falcons and Caracaras),Falco peregrinus,N
Phainopepla,Phainopepla nitens,species,Passeriformes,Ptiliogonatidae (Silky-flycatchers),Phainopepla nitens,N
Philadelphia Vireo,Vireo philadelphicus,species,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo philadelphicus,N
Pied-billed Grebe,Podilymbus podiceps,species,Podicipediformes,Podicipedidae (Grebes),Podilymbus podiceps,N
Pileated Woodpecker,Dryocopus pileatus,species,Piciformes,Picidae (Woodpeckers),Dryocopus pileatus,N
Pine Grosbeak,Pinicola enucleator,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Pinicola enucleator,N
Pine Siskin,Spinus pinus,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Spinus pinus,N
Pine Warbler,Setophaga pinus,species,Passeriformes,Parulidae (New World Warblers),Setophaga pinus,N
Pin-tailed Whydah,Vidua macroura,species,Passeriformes,Viduidae (Indigobirds),Vidua macroura,E
Pinyon Jay,Gymnorhinus cyanocephalus,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Gymnorhinus cyanocephalus,N
Piping Plover,Charadrius melodus,species,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius melodus,N
Plain Chachalaca,Ortalis vetula,species,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)",Ortalis vetula,N
Plumbeous Vireo,Vireo plumbeus,species,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo plumbeus,N
Pomarine Jaeger,Stercorarius pomarinus,species,Charadriiformes,Stercorariidae (Skuas and Jaegers),Stercorarius pomarinus,N
Prairie Falcon,Falco mexicanus,species,Falconiformes,Falconidae (Falcons and Caracaras),Falco mexicanus,N
Prairie Warbler,Setophaga discolor,species,Passeriformes,Parulidae (New World Warblers),Setophaga discolor,N
Prothonotary Warbler,Protonotaria citrea,species,Passeriformes,Parulidae (New World Warblers),Protonotaria citrea,N
Purple Finch,Haemorhous purpureus,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Haemorhous purpureus,N
Purple Gallinule,Porphyrio martinica,species,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Porphyrio martinica,N
Purple Martin,Progne subis,species,Passeriformes,Hirundinidae (Swallows),Progne subis,N
Purple Sandpiper,Calidris maritima,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris maritima,N
Pygmy Nuthatch,Sitta pygmaea,species,Passeriformes,Sittidae (Nuthatches),Sitta pygmaea,N
Pyrrhuloxia,Cardinalis sinuatus,species,Passeriformes,Cardinalidae (Cardinals and Allies),Cardinalis sinuatus,N
Red Crossbill,Loxia curvirostra,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Loxia curvirostra,N
Red Junglefowl (Domestic type),Gallus gallus (Domestic type),domestic,NA,NA,NA,E
Red Knot,Calidris canutus,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris canutus,N
Red Phalarope,Phalaropus fulicarius,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Phalaropus fulicarius,N
Red-bellied Woodpecker,Melanerpes carolinus,species,Piciformes,Picidae (Woodpeckers),Melanerpes carolinus,N
Red-billed Pigeon,Patagioenas flavirostris,species,Columbiformes,Columbidae (Pigeons and Doves),Patagioenas flavirostris,N
Red-billed Tropicbird,Phaethon aethereus,species,Phaethontiformes,Phaethontidae (Tropicbirds),Phaethon aethereus,N
Red-breasted Merganser,Mergus serrator,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mergus serrator,N
Red-breasted Nuthatch,Sitta canadensis,species,Passeriformes,Sittidae (Nuthatches),Sitta canadensis,N
Red-breasted Sapsucker,Sphyrapicus ruber,species,Piciformes,Picidae (Woodpeckers),Sphyrapicus ruber,N
Red-cockaded Woodpecker,Picoides borealis,species,Piciformes,Picidae (Woodpeckers),Picoides borealis,N
Red-crowned Parrot,Amazona viridigenalis,species,Psittaciformes,Psittacidae (New World and African Parrots),Amazona viridigenalis,E
Reddish Egret,Egretta rufescens,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Egretta rufescens,N
Red-eyed Vireo,Vireo olivaceus,species,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo olivaceus,N
Red-faced Warbler,Cardellina rubrifrons,species,Passeriformes,Parulidae (New World Warblers),Cardellina rubrifrons,N
Red-footed Booby,Sula sula,species,Suliformes,Sulidae (Boobies and Gannets),Sula sula,N
Redhead,Aythya americana,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya americana,N
Red-headed Woodpecker,Melanerpes erythrocephalus,species,Piciformes,Picidae (Woodpeckers),Melanerpes erythrocephalus,N
Red-legged Kittiwake,Rissa brevirostris,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rissa brevirostris,N
Red-lored Parrot,Amazona autumnalis,species,Psittaciformes,Psittacidae (New World and African Parrots),Amazona autumnalis,E
Red-masked Parakeet,Psittacara erythrogenys,species,Psittaciformes,Psittacidae (New World and African Parrots),Psittacara erythrogenys,N
Red-naped Sapsucker,Sphyrapicus nuchalis,species,Piciformes,Picidae (Woodpeckers),Sphyrapicus nuchalis,N
Red-necked Grebe,Podiceps grisegena,species,Podicipediformes,Podicipedidae (Grebes),Podiceps grisegena,N
Red-necked Phalarope,Phalaropus lobatus,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Phalaropus lobatus,N
Red-necked Stint,Calidris ruficollis,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris ruficollis,N
Red-shouldered Hawk,Buteo lineatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo lineatus,N
Red-tailed Hawk,Buteo jamaicensis,issf,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo jamaicensis,N
Red-throated Loon,Gavia stellata,species,Gaviiformes,Gaviidae (Loons),Gavia stellata,N
Red-throated Pipit,Anthus cervinus,species,Passeriformes,Motacillidae (Wagtails and Pipits),Anthus cervinus,N
Red-vented Bulbul,Pycnonotus cafer,species,Passeriformes,Pycnonotidae (Bulbuls),Pycnonotus cafer,E
Red-whiskered Bulbul,Pycnonotus jocosus,species,Passeriformes,Pycnonotidae (Bulbuls),Pycnonotus jocosus,E
Red-winged Blackbird,Agelaius phoeniceus,species,Passeriformes,Icteridae (Troupials and Allies),Agelaius phoeniceus,N
Ridgway's Rail,Rallus obsoletus,species,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Rallus obsoletus,N
Ring-billed Gull,Larus delawarensis,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus delawarensis,N
Ringed Kingfisher,Megaceryle torquata,species,Coraciiformes,Alcedinidae (Kingfishers),Megaceryle torquata,N
Ring-necked Duck,Aythya collaris,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya collaris,N
Ring-necked Pheasant,Phasianus colchicus,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Phasianus colchicus,E
Rivoli's Hummingbird,Eugenes fulgens,species,Caprimulgiformes,Trochilidae (Hummingbirds),Eugenes fulgens,N
Roadside Hawk,Rupornis magnirostris,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Rupornis magnirostris,N
Rock Pigeon,Columba livia,domestic,Columbiformes,Columbidae (Pigeons and Doves),Columba livia,E
Rock Sandpiper,Calidris ptilocnemis,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris ptilocnemis,N
Rock Wren,Salpinctes obsoletus,species,Passeriformes,Troglodytidae (Wrens),Salpinctes obsoletus,N
Roseate Spoonbill,Platalea ajaja,species,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Platalea ajaja,N
Roseate Tern,Sterna dougallii,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna dougallii,N
Rose-breasted Grosbeak,Pheucticus ludovicianus,species,Passeriformes,Cardinalidae (Cardinals and Allies),Pheucticus ludovicianus,N
Rose-ringed Parakeet,Psittacula krameri,species,Psittaciformes,Psittaculidae (Old World Parrots),Psittacula krameri,E
Rose-throated Becard,Pachyramphus aglaiae,species,Passeriformes,Tityridae (Tityras and Allies),Pachyramphus aglaiae,N
Ross's Goose,Anser rossii,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser rossii,N
