COMMON_NAME,SCIENTIFIC_NAME,CATEGORY,order,family,scientific name,CLASSIFICATION
Ross's Gull,Rhodostethia rosea,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rhodostethia rosea,N
Rosy-faced Lovebird,Agapornis roseicollis,species,Psittaciformes,Psittaculidae (Old World Parrots),Agapornis roseicollis,E
Rough-legged Hawk,Buteo lagopus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo lagopus,N
Royal Tern,Thalasseus maximus,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Thalasseus maximus,N
Ruby-crowned Kinglet,Regulus calendula,species,Passeriformes,Regulidae (Kinglets),Regulus calendula,N
Ruby-throated Hummingbird,Archilochus colubris,species,Caprimulgiformes,Trochilidae (Hummingbirds),Archilochus colubris,N
Ruddy Duck,Oxyura jamaicensis,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Oxyura jamaicensis,N
Ruddy Ground-Dove,Columbina talpacoti,species,Columbiformes,Columbidae (Pigeons and Doves),Columbina talpacoti,N
Ruddy Turnstone,Arenaria interpres,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Arenaria interpres,N
Ruff,Calidris pugnax,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris pugnax,N
Ruffed Grouse,Bonasa umbellus,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Bonasa umbellus,N
Rufous Hummingbird,Selasphorus rufus,species,Caprimulgiformes,Trochilidae (Hummingbirds),Selasphorus rufus,N
Rufous-backed Robin,Turdus rufopalliatus,issf,Passeriformes,Turdidae (Thrushes and Allies),Turdus rufopalliatus,N
Rufous-capped Warbler,Basileuterus rufifrons,issf,Passeriformes,Parulidae (New World Warblers),Basileuterus rufifrons,N
Rufous-crowned Sparrow,Aimophila ruficeps,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Aimophila ruficeps,N
Rufous-winged Sparrow,Peucaea carpalis,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Peucaea carpalis,N
Rustic Bunting,Emberiza rustica,species,Passeriformes,Emberizidae (Old World Buntings),Emberiza rustica,N
Rusty Blackbird,Euphagus carolinus,species,Passeriformes,Icteridae (Troupials and Allies),Euphagus carolinus,N
Sabine's Gull,Xema sabini,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Xema sabini,N
Sage Thrasher,Oreoscoptes montanus,species,Passeriformes,Mimidae (Mockingbirds and Thrashers),Oreoscoptes montanus,N
Sagebrush Sparrow,Artemisiospiza nevadensis,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Artemisiospiza nevadensis,N
Saltmarsh Sparrow,Ammodramus caudacutus,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Ammodramus caudacutus,N
Sanderling,Calidris alba,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris alba,N
Sandhill Crane,Antigone canadensis,species,Gruiformes,Gruidae (Cranes),Antigone canadensis,N
Sandwich Tern,Thalasseus sandvicensis,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Thalasseus sandvicensis,N
Savannah Sparrow,Passerculus sandwichensis,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Passerculus sandwichensis,N
Say's Phoebe,Sayornis saya,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Sayornis saya,N
Scaled Quail,Callipepla squamata,species,Galliformes,Odontophoridae (New World Quail),Callipepla squamata,N
Scaly-breasted Munia,Lonchura punctulata,species,Passeriformes,Estrildidae (Waxbills and Allies),Lonchura punctulata,E
Scarlet Tanager,Piranga olivacea,species,Passeriformes,Cardinalidae (Cardinals and Allies),Piranga olivacea,N
Scissor-tailed Flycatcher,Tyrannus forficatus,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus forficatus,N
Scott's Oriole,Icterus parisorum,species,Passeriformes,Icteridae (Troupials and Allies),Icterus parisorum,N
Seaside Sparrow,Ammodramus maritimus,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Ammodramus maritimus,N
Sedge Wren,Cistothorus platensis,species,Passeriformes,Troglodytidae (Wrens),Cistothorus platensis,N
Semipalmated Plover,Charadrius semipalmatus,species,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius semipalmatus,N
Semipalmated Sandpiper,Calidris pusilla,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris pusilla,N
Sharp-shinned Hawk,Accipiter striatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Accipiter striatus,N
Sharp-tailed Grouse,Tympanuchus phasianellus,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Tympanuchus phasianellus,N
Sharp-tailed Sandpiper,Calidris acuminata,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris acuminata,N
Shiny Cowbird,Molothrus bonariensis,species,Passeriformes,Icteridae (Troupials and Allies),Molothrus bonariensis,N
Short-billed Dowitcher,Limnodromus griseus,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Limnodromus griseus,N
Short-eared Owl,Asio flammeus,species,Strigiformes,Strigidae (Owls),Asio flammeus,N
Short-tailed Hawk,Buteo brachyurus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo brachyurus,N
Slaty-backed Gull,Larus schistisagus,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus schistisagus,N
Smew,Mergellus albellus,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mergellus albellus,N
Smith's Longspur,Calcarius pictus,species,Passeriformes,Calcariidae (Longspurs and Snow Buntings),Calcarius pictus,N
Smooth-billed Ani,Crotophaga ani,species,Cuculiformes,Cuculidae (Cuckoos),Crotophaga ani,N
Snail Kite,Rostrhamus sociabilis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Rostrhamus sociabilis,N
Snow Bunting,Plectrophenax nivalis,species,Passeriformes,Calcariidae (Longspurs and Snow Buntings),Plectrophenax nivalis,N
Snow Goose,Anser caerulescens,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser caerulescens,N
Snowy Egret,Egretta thula,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Egretta thula,N
Snowy Owl,Bubo scandiacus,species,Strigiformes,Strigidae (Owls),Bubo scandiacus,N
Snowy Plover,Charadrius nivosus,species,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius nivosus,N
Solitary Sandpiper,Tringa solitaria,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa solitaria,N
Song Sparrow,Melospiza melodia,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Melospiza melodia,N
Sooty Grouse,Dendragapus fuliginosus,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Dendragapus fuliginosus,N
Sooty Tern,Onychoprion fuscatus,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Onychoprion fuscatus,N
Sora,Porzana carolina,species,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Porzana carolina,N
South Polar Skua,Stercorarius maccormicki,species,Charadriiformes,Stercorariidae (Skuas and Jaegers),Stercorarius maccormicki,N
Spot-breasted Oriole,Icterus pectoralis,species,Passeriformes,Icteridae (Troupials and Allies),Icterus pectoralis,E
Spotted Dove,Streptopelia chinensis,species,Columbiformes,Columbidae (Pigeons and Doves),Streptopelia chinensis,E
Spotted Sandpiper,Actitis macularius,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Actitis macularius,N
Spotted Towhee,Pipilo maculatus,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Pipilo maculatus,N
Sprague's Pipit,Anthus spragueii,species,Passeriformes,Motacillidae (Wagtails and Pipits),Anthus spragueii,N
Spruce Grouse,Falcipennis canadensis,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Falcipennis canadensis,N
Steller's Jay,Cyanocitta stelleri,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Cyanocitta stelleri,N
Stilt Sandpiper,Calidris himantopus,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris himantopus,N
Streak-backed Oriole,Icterus pustulatus,species,Passeriformes,Icteridae (Troupials and Allies),Icterus pustulatus,N
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiodynastes luteiventris,N
Summer Tanager,Piranga rubra,species,Passeriformes,Cardinalidae (Cardinals and Allies),Piranga rubra,N
Surf Scoter,Melanitta perspicillata,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Melanitta perspicillata,N
Surfbird,Calidris virgata,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris virgata,N
Swainson's Hawk,Buteo swainsoni,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo swainsoni,N
Swainson's Thrush,Catharus ustulatus,issf,Passeriformes,Turdidae (Thrushes and Allies),Catharus ustulatus,N
Swainson's Warbler,Limnothlypis swainsonii,species,Passeriformes,Parulidae (New World Warblers),Limnothlypis swainsonii,N
Swallow-tailed Kite,Elanoides forficatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Elanoides forficatus,N
Swamp Sparrow,Melospiza georgiana,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Melospiza georgiana,N
Swan Goose (Domestic type),Anser cygnoides (Domestic type),domestic,NA,NA,NA,E
Tennessee Warbler,Oreothlypis peregrina,species,Passeriformes,Parulidae (New World Warblers),Oreothlypis peregrina,N
Thick-billed Kingbird,Tyrannus crassirostris,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus crassirostris,N
Townsend's Solitaire,Myadestes townsendi,species,Passeriformes,Turdidae (Thrushes and Allies),Myadestes townsendi,N
Townsend's Warbler,Setophaga townsendi,species,Passeriformes,Parulidae (New World Warblers),Setophaga townsendi,N
Tree Swallow,Tachycineta bicolor,species,Passeriformes,Hirundinidae (Swallows),Tachycineta bicolor,N
Tricolored Blackbird,Agelaius tricolor,species,Passeriformes,Icteridae (Troupials and Allies),Agelaius tricolor,N
Tricolored Heron,Egretta tricolor,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Egretta tricolor,N
Tropical Kingbird,Tyrannus melancholicus,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus melancholicus,N
Tropical Parula,Setophaga pitiayumi,species,Passeriformes,Parulidae (New World Warblers),Setophaga pitiayumi,N
Trumpeter Swan,Cygnus buccinator,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus buccinator,N
Tufted Duck,Aythya fuligula,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya fuligula,N
Tufted Titmouse,Baeolophus bicolor,species,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Baeolophus bicolor,N
Tundra Swan,Cygnus columbianus,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus columbianus,N
Turkey Vulture,Cathartes aura,species,Cathartiformes,Cathartidae (New World Vultures),Cathartes aura,N
Upland Sandpiper,Bartramia longicauda,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Bartramia longicauda,N
Varied Bunting,Passerina versicolor,species,Passeriformes,Cardinalidae (Cardinals and Allies),Passerina versicolor,N
Varied Thrush,Ixoreus naevius,species,Passeriformes,Turdidae (Thrushes and Allies),Ixoreus naevius,N
Vaux's Swift,Chaetura vauxi,species,Caprimulgiformes,Apodidae (Swifts),Chaetura vauxi,N
Veery,Catharus fuscescens,species,Passeriformes,Turdidae (Thrushes and Allies),Catharus fuscescens,N
Verdin,Auriparus flaviceps,species,Passeriformes,Remizidae (Penduline-Tits),Auriparus flaviceps,N
Vermilion Flycatcher,Pyrocephalus rubinus,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Pyrocephalus rubinus,N
Vesper Sparrow,Pooecetes gramineus,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Pooecetes gramineus,N
Violet-crowned Hummingbird,Amazilia violiceps,species,Caprimulgiformes,Trochilidae (Hummingbirds),Amazilia violiceps,N
Violet-green Swallow,Tachycineta thalassina,species,Passeriformes,Hirundinidae (Swallows),Tachycineta thalassina,N
Virginia Rail,Rallus limicola,species,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Rallus limicola,N
Virginia's Warbler,Oreothlypis virginiae,species,Passeriformes,Parulidae (New World Warblers),Oreothlypis virginiae,N
Wandering Tattler,Tringa incana,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa incana,N
Warbling Vireo,Vireo gilvus,species,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo gilvus,N
Western Bluebird,Sialia mexicana,species,Passeriformes,Turdidae (Thrushes and Allies),Sialia mexicana,N
Western Grebe,Aechmophorus occidentalis,species,Podicipediformes,Podicipedidae (Grebes),Aechmophorus occidentalis,N
Western Gull,Larus occidentalis,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus occidentalis,N
Western Kingbird,Tyrannus verticalis,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus verticalis,N
Western Meadowlark,Sturnella neglecta,species,Passeriformes,Icteridae (Troupials and Allies),Sturnella neglecta,N
Western Sandpiper,Calidris mauri,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris mauri,N
Western Screech-Owl,Megascops kennicottii,species,Strigiformes,Strigidae (Owls),Megascops kennicottii,N
Western Spindalis,Spindalis zena,species,Passeriformes,Spindalidae (Spindalises),Spindalis zena,N
Western Tanager,Piranga ludoviciana,species,Passeriformes,Cardinalidae (Cardinals and Allies),Piranga ludoviciana,N
Western Wood-Pewee,Contopus sordidulus,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Contopus sordidulus,N
Whimbrel,Numenius phaeopus,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Numenius phaeopus,N
Whiskered Screech-Owl,Megascops trichopsis,species,Strigiformes,Strigidae (Owls),Megascops trichopsis,N
White Ibis,Eudocimus albus,species,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Eudocimus albus,N
White Wagtail,Motacilla alba,issf,Passeriformes,Motacillidae (Wagtails and Pipits),Motacilla alba,N
White-breasted Nuthatch,Sitta carolinensis,species,Passeriformes,Sittidae (Nuthatches),Sitta carolinensis,N
White-collared Seedeater,Sporophila torqueola,species,Passeriformes,Thraupidae (Tanagers and Allies),Sporophila torqueola,N
White-crowned Pigeon,Patagioenas leucocephala,species,Columbiformes,Columbidae (Pigeons and Doves),Patagioenas leucocephala,N
White-crowned Sparrow,Zonotrichia leucophrys,issf,Passeriformes,Passerellidae (New World Buntings and Sparrows),Zonotrichia leucophrys,N
White-eared Hummingbird,Hylocharis leucotis,species,Caprimulgiformes,Trochilidae (Hummingbirds),Hylocharis leucotis,N
White-eyed Vireo,Vireo griseus,species,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo griseus,N
White-faced Ibis,Plegadis chihi,species,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Plegadis chihi,N
White-headed Woodpecker,Picoides albolarvatus,species,Piciformes,Picidae (Woodpeckers),Picoides albolarvatus,N
White-rumped Sandpiper,Calidris fuscicollis,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris fuscicollis,N
White-tailed Hawk,Geranoaetus albicaudatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Geranoaetus albicaudatus,N
White-tailed Kite,Elanus leucurus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Elanus leucurus,N
White-tailed Ptarmigan,Lagopus leucura,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Lagopus leucura,N
White-tailed Tropicbird,Phaethon lepturus,species,Phaethontiformes,Phaethontidae (Tropicbirds),Phaethon lepturus,N
White-throated Sparrow,Zonotrichia albicollis,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Zonotrichia albicollis,N
White-throated Swift,Aeronautes saxatalis,species,Caprimulgiformes,Apodidae (Swifts),Aeronautes saxatalis,N
White-tipped Dove,Leptotila verreauxi,species,Columbiformes,Columbidae (Pigeons and Doves),Leptotila verreauxi,N
White-winged Crossbill,Loxia leucoptera,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Loxia leucoptera,N
White-winged Dove,Zenaida asiatica,species,Columbiformes,Columbidae (Pigeons and Doves),Zenaida asiatica,N
White-winged Parakeet,Brotogeris versicolurus,species,Psittaciformes,Psittacidae (New World and African Parrots),Brotogeris versicolurus,E
White-winged Scoter,Melanitta fusca,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Melanitta fusca,N
Whooping Crane,Grus americana,species,Gruiformes,Gruidae (Cranes),Grus americana,N
Wild Turkey,Meleagris gallopavo,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Meleagris gallopavo,N
Willet,Tringa semipalmata,issf,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa semipalmata,N
Williamson's Sapsucker,Sphyrapicus thyroideus,species,Piciformes,Picidae (Woodpeckers),Sphyrapicus thyroideus,N
Willow Flycatcher,Empidonax traillii,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax traillii,N
Willow Ptarmigan,Lagopus lagopus,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Lagopus lagopus,N
Wilson's Phalarope,Phalaropus tricolor,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Phalaropus tricolor,N
Wilson's Plover,Charadrius wilsonia,species,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius wilsonia,N
Wilson's Snipe,Gallinago delicata,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago delicata,N
Wilson's Warbler,Cardellina pusilla,species,Passeriformes,Parulidae (New World Warblers),Cardellina pusilla,N
Winter Wren,Troglodytes hiemalis,species,Passeriformes,Troglodytidae (Wrens),Troglodytes hiemalis,N
Wood Duck,Aix sponsa,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aix sponsa,N
Wood Stork,Mycteria americana,species,Ciconiiformes,Ciconiidae (Storks),Mycteria americana,N
Wood Thrush,Hylocichla mustelina,species,Passeriformes,Turdidae (Thrushes and Allies),Hylocichla mustelina,N
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Aphelocoma woodhouseii,N
Worm-eating Warbler,Helmitheros vermivorum,species,Passeriformes,Parulidae (New World Warblers),Helmitheros vermivorum,N
Wrentit,Chamaea fasciata,species,Passeriformes,"Paradoxornithidae (Parrotbills, Wrentit, and Allies)",Chamaea fasciata,N
Yellow Rail,Coturnicops noveboracensis,species,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Coturnicops noveboracensis,N
Yellow Warbler,Setophaga petechia,species,Passeriformes,Parulidae (New World Warblers),Setophaga petechia,N
Yellow-bellied Flycatcher,Empidonax flaviventris,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax flaviventris,N
Yellow-bellied Sapsucker,Sphyrapicus varius,species,Piciformes,Picidae (Woodpeckers),Sphyrapicus varius,N
Yellow-billed Cuckoo,Coccyzus americanus,species,Cuculiformes,Cuculidae (Cuckoos),Coccyzus americanus,N
Yellow-billed Loon,Gavia adamsii,species,Gaviiformes,Gaviidae (Loons),Gavia adamsii,N
Yellow-billed Magpie,Pica nuttalli,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Pica nuttalli,N
Yellow-breasted Chat,Icteria virens,species,Passeriformes,Icteriidae (Yellow-breasted Chat),Icteria virens,N
Yellow-chevroned Parakeet,Brotogeris chiriri,species,Psittaciformes,Psittacidae (New World and African Parrots),Brotogeris chiriri,E
Yellow-crowned Night-Heron,Nyctanassa violacea,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Nyctanassa violacea,N
Yellow-eyed Junco,Junco phaeonotus,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Junco phaeonotus,N
Yellow-faced Grassquit,Tiaris olivaceus,species,Passeriformes,Thraupidae (Tanagers and Allies),Tiaris olivaceus,E
Yellow-footed Gull,Larus livens,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus livens,N
Yellow-fronted Canary,Crithagra mozambica,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Crithagra mozambica,E
Yellow-green Vireo,Vireo flavoviridis,species,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo flavoviridis,N
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,species,Passeriformes,Icteridae (Troupials and Allies),Xanthocephalus xanthocephalus,N
Yellow-headed Parrot,Amazona oratrix,species,Psittaciformes,Psittacidae (New World and African Parrots),Amazona oratrix,E
Yellow-rumped Warbler,Setophaga coronata,issf,Passeriformes,Parulidae (New World Warblers),Setophaga coronata,N
Yellow-throated Vireo,Vireo flavifrons,species,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo flavifrons,N
Yellow-throated Warbler,Setophaga dominica,species,Passeriformes,Parulidae (New World Warblers),Setophaga dominica,N
Zone-tailed Hawk,Buteo albonotatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo albonotatus,N
